"skill","salary"
"spreadsheet","60000"
"sql","87120"
"excel","87120"
"tableau","87120"
"power bi","87120"
"dax","87120"
"excel","115000"
"powerpoint","115000"
"sql","95150"
"excel","95150"
"flow","95150"
"sas","98750"
"sas","98750"
"flow","98750"
"sql","90000"
"excel","90000"
"power bi","90000"
"power bi","56700"
"oracle","85000"
"cognos","85000"
"sql","134840"
"go","134840"
"sql server","134840"
"azure","134840"
"databricks","134840"
"snowflake","134840"
"express","134840"
"sap","134840"
"sql","90000"
"python","90000"
"r","90000"
"oracle","90000"
"tableau","90000"
"power bi","90000"
"sap","90000"
"sql","100000"
"python","100000"
"r","100000"
"matlab","100000"
"tableau","100000"
"sql","111175"
"python","111175"
"r","111175"
"sheets","111175"
"python","53014"
"r","53014"
"go","53014"
"excel","53014"
"excel","70000"
"sql","85000"
"crystal","85000"
"azure","85000"
"power bi","85000"
"ssrs","85000"
"ms access","85000"
"excel","109430"
"powerpoint","109430"
"jira","109430"
"confluence","109430"
"flow","100000"
"sql","133142"
"python","133142"
"r","133142"
"power bi","133142"
"dax","133142"
"alteryx","133142"
"sql","80850"
"python","80850"
"r","80850"
"pandas","80850"
"tableau","80850"
"sql","111175"
"python","111175"
"gcp","111175"
"airflow","111175"
"windows","111175"
"tableau","111175"
"looker","111175"
"excel","63000"
"sql","111175"
"excel","111175"
"tableau","111175"
"looker","111175"
"phoenix","120040"
"sql","198875"
"python","198875"
"bigquery","198875"
"redshift","198875"
"snowflake","198875"
"tableau","198875"
"looker","198875"
"sql","115000"
"azure","115000"
"databricks","115000"
"aws","115000"
"spark","115000"
"git","115000"
"jenkins","115000"
"sql","115000"
"python","115000"
"c","115000"
"sql server","115000"
"db2","115000"
"oracle","115000"
"hadoop","115000"
"unix","115000"
"sql","84500"
"sql server","84500"
"azure","84500"
"aws","84500"
"redshift","84500"
"snowflake","84500"
"tableau","84500"
"looker","84500"
"ssis","84500"
"sql","86500"
"oracle","86500"
"excel","81312"
"tableau","81312"
"python","100000"
"go","100000"
"pandas","100000"
"numpy","100000"
"scikit-learn","100000"
"matplotlib","100000"
"plotly","100000"
"sql","82500"
"python","82500"
"r","82500"
"excel","70000"
"power bi","70000"
"spreadsheet","70000"
"powerpoint","70000"
"visio","70000"
"sql","72000"
"nosql","72000"
"sql","82000"
"t-sql","82000"
"oracle","82000"
"sql","115000"
"tableau","115000"
"sql","64800"
"sql server","64800"
"excel","64800"
"word","64800"
"powerpoint","64800"
"powerpoint","56700"
"sql","65350"
"excel","65350"
"tableau","65350"
"sql","57500"
"python","57500"
"bigquery","57500"
"slack","57500"
"excel","102500"
"python","163782"
"r","163782"
"azure","163782"
"aws","163782"
"flow","163782"
"sql","93950"
"python","93950"
"r","93950"
"jupyter","93950"
"excel","93950"
"tableau","93950"
"sql","115000"
"python","115000"
"r","115000"
"excel","115000"
"tableau","115000"
"word","60000"
"spreadsheet","60000"
"terminal","60000"
"sql","115000"
"python","115000"
"r","115000"
"terminal","115000"
"sql","90000"
"sas","90000"
"sas","90000"
"jira","90000"
"oracle","60000"
"excel","60000"
"word","60000"
"visio","60000"
"sharepoint","60000"
"terminal","60000"
"sap","107250"
"sql","97500"
"python","97500"
"tableau","97500"
"looker","97500"
"sql","103000"
"sql","83679"
"python","83679"
"r","83679"
"crystal","83679"
"sql server","83679"
"excel","83679"
"tableau","83679"
"power bi","83679"
"word","83679"
"powerpoint","83679"
"spss","83679"
"sql","106000"
"python","106000"
"snowflake","106000"
"excel","106000"
"tableau","106000"
"git","106000"
"sql","100500"
"python","100500"
"r","100500"
"crystal","100500"
"bigquery","100500"
"tableau","100500"
"qlik","100500"
"sql","84000"
"python","84000"
"r","84000"
"sas","84000"
"tableau","84000"
"sas","84000"
"sql","104000"
"python","104000"
"r","104000"
"javascript","104000"
"c++","104000"
"snowflake","104000"
"excel","104000"
"tableau","104000"
"looker","104000"
"qlik","104000"
"powerpoint","104000"
"go","60734"
"sql","100500"
"aws","100500"
"tableau","100500"
"go","51014"
"excel","51014"
"power bi","51014"
"cognos","51014"
"sql","87000"
"python","87000"
"r","87000"
"tableau","87000"
"power bi","87000"
"sql","56700"
"python","56700"
"tableau","56700"
"looker","56700"
"sql","40000"
"tableau","40000"
"sheets","40000"
"sql","150000"
"python","150000"
"tableau","150000"
"sql","111175"
"excel","111175"
"tableau","111175"
"python","90000"
"r","90000"
"pandas","90000"
"numpy","90000"
"excel","80850"
"word","80850"
"powerpoint","80850"
"java","80000"
"excel","80000"
"tableau","80000"
"power bi","80000"
"sql","125000"
"python","125000"
"sql","83500"
"python","83500"
"excel","83500"
"sql","70500"
"python","70500"
"sql","65000"
"javascript","65000"
"excel","65000"
"tableau","65000"
"power bi","65000"
"windows","52500"
"excel","52500"
"power bi","52500"
"word","52500"
"powerpoint","52500"
"sql","92550"
"excel","92550"
"tableau","110000"
"powerpoint","110000"
"spark","89100"
"sap","89100"
"sql","175000"
"go","175000"
"vba","175000"
"excel","175000"
"outlook","175000"
"vba","57500"
"excel","57500"
"tableau","57500"
"power bi","57500"
"visio","57500"
"sql","81312"
"python","81312"
"r","81312"
"tableau","81312"
"power bi","81312"
"excel","97375"
"excel","72500"
"sap","72500"
"excel","124640"
"sap","108416"
"visio","108416"
"sql","83500"
"python","83500"
"aws","83500"
"excel","70000"
"word","84000"
"sql","115000"
"html","115000"
"excel","115000"
"word","115000"
"powerpoint","115000"
"ms access","115000"
"sql","130000"
"python","130000"
"r","130000"
"sql server","130000"
"excel","130000"
"tableau","130000"
"power bi","130000"
"sql","55273"
"oracle","55273"
"sql","100500"
"looker","100500"
"git","100500"
"sql","74050"
"python","74050"
"r","74050"
"excel","74050"
"sql","80000"
"sas","80000"
"excel","80000"
"sas","80000"
"powerpoint","80000"
"spss","80000"
"sql","52500"
"html","52500"
"crystal","52500"
"excel","52500"
"sql","100000"
"express","85000"
"excel","85000"
"flow","85000"
"atlassian","85000"
"python","105000"
"pandas","105000"
"jupyter","105000"
"spreadsheet","105000"
"sql","49801"
"excel","49801"
"power bi","49801"
"sharepoint","49801"
"python","111175"
"r","111175"
"spark","111175"
"airflow","111175"
"github","111175"
"sql","56500"
"sas","56500"
"go","56500"
"html","56500"
"css","56500"
"excel","56500"
"tableau","56500"
"power bi","56500"
"sas","56500"
"sql","110500"
"excel","110500"
"sql","57500"
"python","57500"
"sas","57500"
"excel","57500"
"sas","57500"
"spss","57500"
"sql","114184"
"sas","114184"
"snowflake","114184"
"sas","114184"
"sql","100000"
"visual basic","100000"
"oracle","100000"
"cognos","100000"
"alteryx","100000"
"sql","105000"
"sas","105000"
"javascript","105000"
"excel","105000"
"sas","105000"
"spss","105000"
"sql","85000"
"mysql","85000"
"postgresql","85000"
"snowflake","85000"
